author,pull_number,title,description,churn,changed_files,activities,comments,comment_dates,state,creation_date,close_date,closed_by,release_tag
coyotemarin,2184,Docker support on EMR,399,629,17,4,5,2020-07-08T16:26:49+00:00;2020-07-08T16:15:15+00:00;2020-07-08T16:20:22+00:00;2020-07-13T17:53:20+00:00;2020-07-13T17:53:52+00:00,merged,2020-06-29T23:51:13+00:00,2020-07-13 17:54:11+00:00,coyotemarin,v0.7.4
dallinb,2183,Correct the link to the configuration documentation (README.rst).,229,3,1,4,1,2020-07-06T18:25:49+00:00,merged,2020-06-23T06:35:49+00:00,2020-07-06 18:25:44+00:00,coyotemarin,v0.7.4
88manpreet,2177,Write counters to local filepath when spark-tmp-dir is not an S3 path.,552,184,3,7,5,2020-05-29T00:17:15+00:00;2020-05-29T00:27:57+00:00;2020-05-29T00:29:23+00:00;2020-05-29T20:17:54+00:00;2020-05-29T20:18:50+00:00,merged,2020-05-27T21:15:03+00:00,2020-05-29 23:52:57+00:00,88manpreet,v0.7.3
jgressma,2175,make manifest download script handle errors correctly with dash,427,2,1,6,0,,merged,2020-05-27T06:07:50+00:00,2020-05-28 22:12:39+00:00,coyotemarin,v0.7.3
coyotemarin,2174,minimize API calls when joining pooled clusters,1457,1672,10,4,0,,merged,2020-05-23T23:51:47+00:00,2020-05-28 22:09:20+00:00,coyotemarin,v0.7.3
88manpreet,2172,Test writing to local-file runner,0,14,2,1,0,,closed,2020-05-22T21:46:41+00:00,2020-05-24 07:42:02+00:00,88manpreet,
88manpreet,2171,d/manpreet/write counter to local dir 2,0,14,3,1,0,,closed,2020-05-22T17:15:42+00:00,2020-05-24 04:25:38+00:00,88manpreet,
88manpreet,2170,Save counters to local driver path if counter output directory is not an S3 path,0,16,4,1,0,,closed,2020-05-22T10:11:33+00:00,2020-05-24 04:26:00+00:00,88manpreet,
coyotemarin,2169,try all matching pooled clusters before asking for more,470,904,9,5,2,2020-05-27T23:30:33+00:00;2020-05-27T23:30:23+00:00,merged,2020-05-15T19:20:42+00:00,2020-05-28 22:06:08+00:00,coyotemarin,v0.7.3
coyotemarin,2167,lock clusters with EMR tags,594,1099,10,4,1,2020-05-27T23:55:12+00:00,merged,2020-04-22T18:35:04+00:00,2020-05-28 22:05:27+00:00,coyotemarin,v0.7.3
88manpreet,2166,Test s3 path prefix replacement with s3a,21,6,2,1,0,,closed,2020-04-21T05:03:10+00:00,2020-06-02 01:42:07+00:00,88manpreet,
88manpreet,2165,Test mrjob fix for s3,21,56,3,1,0,,closed,2020-04-21T04:58:04+00:00,2020-04-21 05:01:11+00:00,88manpreet,
coyotemarin,2163,stop calling ListSteps when using pooled clusters,1368,429,7,4,6,2020-05-11T08:53:07+00:00;2020-05-26T07:32:44+00:00;2020-05-11T08:46:23+00:00;2020-05-11T08:47:16+00:00;2020-05-14T18:09:41+00:00;2020-05-14T18:09:47+00:00,merged,2020-04-18T00:29:19+00:00,2020-05-14 18:46:28+00:00,coyotemarin,v0.7.3
coyotemarin,2158,proposed v0.7.2 release,303,185,21,6,1,2020-04-13T07:33:52+00:00,merged,2020-04-11T23:37:04+00:00,2020-04-13 21:11:37+00:00,coyotemarin,v0.7.2
coyotemarin,2157,use 'python2.7' as default python_bin for Python 2,295,72,5,3,1,2020-04-13T07:34:00+00:00,merged,2020-04-11T22:39:34+00:00,2020-04-13 21:09:48+00:00,coyotemarin,v0.7.2
coyotemarin,2156,default python_bin on Python 2 to 'python2',289,28,5,3,1,2020-04-10T21:12:18+00:00,merged,2020-04-08T19:18:41+00:00,2020-04-10 22:12:29+00:00,coyotemarin,v0.7.2
coyotemarin,2155,recursively merge extra_cluster_params,277,33,3,4,1,2020-04-02T07:51:25+00:00,merged,2020-04-01T22:14:21+00:00,2020-04-02 17:13:08+00:00,coyotemarin,v0.7.2
coyotemarin,2152,fix setup.py and tests so that Python 3.4 and 3.8 work,303,79,6,4,3,2020-03-26T04:37:16+00:00;2020-03-24T01:14:22+00:00;2020-03-25T17:56:15+00:00,merged,2020-03-24T00:05:39+00:00,2020-03-27 20:08:06+00:00,coyotemarin,v0.7.2
coyotemarin,2143,don't copy SSH key to master,208,201,11,5,5,2020-01-02T20:08:15+00:00;2020-01-02T21:03:00+00:00;2020-01-02T21:14:02+00:00;2020-01-02T21:15:42+00:00;2020-01-02T21:32:34+00:00,merged,2019-12-31T07:11:43+00:00,2020-03-27 21:33:41+00:00,coyotemarin,v0.7.2
88manpreet,2142,Update readme for including pool hash for archives during bootstrap,0,4,2,3,3,2019-12-27T19:08:08+00:00;2019-12-27T19:08:20+00:00;2019-12-27T19:09:07+00:00,merged,2019-12-26T23:32:50+00:00,2019-12-27 19:46:14+00:00,88manpreet,
coyotemarin,2141,add archives to pool hash,239,102,2,4,1,,merged,2019-12-23T23:07:24+00:00,2019-12-23 23:52:02+00:00,coyotemarin,v0.7.1
coyotemarin,2137,emulate --archives on non-YARN Spark,386,762,22,4,3,2020-03-24T00:57:10+00:00;2020-03-24T01:07:58+00:00;2020-03-27T21:35:01+00:00,merged,2019-12-18T23:19:12+00:00,2020-03-27 21:35:21+00:00,coyotemarin,v0.7.2
coyotemarin,2135,add runner initialization to debug messages,65,43,8,4,1,2019-12-18T21:16:55+00:00,merged,2019-12-18T21:16:25+00:00,2019-12-19 05:53:20+00:00,coyotemarin,v0.7.1
88manpreet,2134,Set VisibleToAllUsers to true by default,12,26,2,3,2,2019-12-16T22:16:02+00:00;2019-12-16T23:41:33+00:00,merged,2019-12-16T21:58:09+00:00,2019-12-18 18:47:22+00:00,coyotemarin,v0.7.1
timgates42,2133,Fix simple typo: mrjob-speific -> mrjob-specific,14,2,1,3,1,2019-12-16T23:13:36+00:00,merged,2019-12-14T10:51:03+00:00,2019-12-16 23:13:25+00:00,coyotemarin,v0.7.1
coyotemarin,2128,stop reading pre-v0.6.0 pool names,118,140,5,4,1,2019-11-13T23:55:46+00:00,merged,2019-11-13T23:55:15+00:00,2019-11-15 03:53:35+00:00,coyotemarin,v0.7.0
coyotemarin,2127,test and clean out mrjob/examples/,127,2266,60,4,0,,merged,2019-11-13T23:20:59+00:00,2019-11-14 00:07:42+00:00,coyotemarin,v0.7.0
coyotemarin,2125,initializing a MRJob with no args means to read from sys.argv,498,199,9,4,0,,merged,2019-11-05T18:00:10+00:00,2019-11-05 20:07:04+00:00,coyotemarin,v0.7.0
coyotemarin,2119,move google and aws deps to extras_require,236,27,2,4,0,,merged,2019-10-27T18:11:21+00:00,2019-10-28 20:39:15+00:00,coyotemarin,v0.7.0
coyotemarin,2118,Merge MRJobLauncher into MRJob,347,1910,12,4,0,,merged,2019-10-25T22:13:51+00:00,2019-10-27 16:45:17+00:00,coyotemarin,v0.7.0
coyotemarin,2117,make fs method args consistent,136,89,7,4,0,,merged,2019-10-25T19:17:02+00:00,2019-10-25 20:59:44+00:00,coyotemarin,v0.7.0
coyotemarin,2116,remove code deprecated in v0.6.x,85,2252,50,4,0,,merged,2019-10-24T21:41:03+00:00,2019-10-25 19:05:13+00:00,coyotemarin,v0.7.0
coyotemarin,2115,local FS and sim runners support file:// URIs,407,226,5,4,0,,merged,2019-10-18T20:16:23+00:00,2019-10-18 21:36:51+00:00,coyotemarin,v0.6.12
suzil,2113,Update broken docs link,44,4,1,4,1,2019-10-25T23:54:23+00:00,merged,2019-10-15T08:30:18+00:00,2019-10-25 23:54:21+00:00,coyotemarin,v0.7.0
coyotemarin,2112,bump default image on Dataproc to 1.3,236,17,2,4,0,,merged,2019-10-10T00:09:14+00:00,2019-10-16 17:43:35+00:00,coyotemarin,v0.6.12
coyotemarin,2108,retry on transient AWS errors from within pagination,292,516,8,4,0,,merged,2019-10-03T19:30:21+00:00,2019-10-03 20:14:16+00:00,coyotemarin,v0.6.11
stug,2107,make report_long_jobs report jobs in WAITING state,0,59,2,2,1,2019-10-03T20:15:50+00:00,closed,2019-10-02T17:42:02+00:00,2019-10-03 20:15:50+00:00,coyotemarin,
coyotemarin,2106,"restore m4.large for pre-5.13.0 AMIs, bump default AMI version",289,53,3,4,0,,merged,2019-09-30T23:15:45+00:00,2019-10-03 16:00:59+00:00,coyotemarin,v0.6.11
coyotemarin,2104,override earlier emr_configurations,309,140,6,4,0,,merged,2019-09-27T18:40:26+00:00,2019-09-29 00:57:50+00:00,coyotemarin,v0.6.11
coyotemarin,2100,Test setup.py package list,86,78,2,4,0,,merged,2019-09-23T22:52:33+00:00,2019-09-23 23:57:53+00:00,coyotemarin,v0.6.11
coyotemarin,2099,parse cause of error from Spark logs,85,1633,24,4,0,,merged,2019-09-23T20:41:06+00:00,2019-09-23 22:49:40+00:00,coyotemarin,v0.6.11
coyotemarin,2095,Re-enable Python 3.4,401,53,7,4,0,,merged,2019-08-29T05:00:43+00:00,2019-08-29 16:32:40+00:00,coyotemarin,v0.6.11
coyotemarin,2092,Spark runner only imports spark harness for streaming steps,190,5,1,4,0,,merged,2019-08-14T18:46:24+00:00,2019-08-15 00:59:29+00:00,coyotemarin,v0.6.11
coyotemarin,2089,MRJobs take intermixed input file args in Python 3.7+,255,29,2,4,0,,merged,2019-07-26T21:57:58+00:00,2019-07-26 22:38:25+00:00,coyotemarin,v0.6.11
coyotemarin,2086,add --skip-internal-protocol to Spark runner,309,278,8,4,0,,merged,2019-07-17T22:36:12+00:00,2019-07-17 23:32:14+00:00,coyotemarin,v0.6.10
coyotemarin,2083,don't treat --file etc. as canonical in docs and tests,122,44,9,4,0,,merged,2019-07-01T04:29:04+00:00,2019-07-01 05:25:57+00:00,coyotemarin,v0.6.10
coyotemarin,2082,make Spark harness work on EMR,303,88,4,4,0,,merged,2019-06-27T03:05:15+00:00,2019-06-27 04:17:49+00:00,coyotemarin,v0.6.10
coyotemarin,2081,bump default instance type to m5.xlarge,145,108,4,4,0,,merged,2019-06-24T23:45:12+00:00,2019-06-25 00:11:18+00:00,coyotemarin,v0.6.10
coyotemarin,2080,default python_bin can be pypy,123,97,7,5,0,,merged,2019-06-24T13:45:42+00:00,2019-06-24 16:21:16+00:00,coyotemarin,v0.6.10
coyotemarin,2077,better error when loading conf file without PyYAML,300,16,2,4,0,,merged,2019-06-05T15:50:36+00:00,2019-06-05 17:19:13+00:00,coyotemarin,v0.6.10
coyotemarin,2074,log public dns of master node,118,92,2,6,0,,merged,2019-05-31T23:43:53+00:00,2019-06-03 21:05:59+00:00,coyotemarin,v0.6.10
coyotemarin,2072,mrjob spark-submit can now pass switches to spark scripts,64,24,2,4,0,,merged,2019-05-22T22:42:07+00:00,2019-05-23 19:43:40+00:00,coyotemarin,v0.6.9
coyotemarin,2069,warn if spark_tmp_dir doesn't match master,125,35,2,4,0,,merged,2019-05-21T01:29:47+00:00,2019-05-22 17:20:13+00:00,coyotemarin,v0.6.9
coyotemarin,2068,sim runners set mapreduce.map.input.file to a file:// URL,72,26,3,4,0,,merged,2019-05-21T00:13:34+00:00,2019-05-21 01:20:12+00:00,coyotemarin,v0.6.9
coyotemarin,2067,add --emulate-map-input-file,165,400,9,6,0,,merged,2019-05-17T04:03:15+00:00,2019-05-17 20:02:52+00:00,coyotemarin,v0.6.9
coyotemarin,2065,No archives in wd mirror,418,97,8,4,0,,merged,2019-05-14T03:00:28+00:00,2019-05-14 18:55:11+00:00,coyotemarin,v0.6.9
coyotemarin,2064,emulate type=<type> in optparse,208,29,2,4,0,,merged,2019-05-14T02:11:22+00:00,2019-05-14 03:01:43+00:00,coyotemarin,v0.6.9
qui,2063,Match increment_counter arguments in spark harness with base job,228,6,2,5,1,2019-05-13T23:45:14+00:00,merged,2019-05-13T23:44:08+00:00,2019-05-14 00:40:09+00:00,coyotemarin,v0.6.9
coyotemarin,2053,fix re-uploading of renamed remote files,212,59,2,4,0,,merged,2019-04-21T20:37:25+00:00,2019-04-21 22:47:05+00:00,coyotemarin,v0.6.8
coyotemarin,2052,enable setup scripts on non-YARN Spark masters,407,170,8,4,0,,merged,2019-04-15T23:14:49+00:00,2019-04-16 01:05:57+00:00,coyotemarin,v0.6.8
coyotemarin,2050,harness can simulate jobs that it can't init in Spark driver,612,490,6,4,0,,merged,2019-04-10T22:30:06+00:00,2019-04-15 16:43:15+00:00,coyotemarin,v0.6.8
coyotemarin,2049,get file upload args working on local[*] master,268,278,8,4,0,,merged,2019-04-06T01:58:18+00:00,2019-04-06 02:42:02+00:00,coyotemarin,v0.6.8
coyotemarin,2043,handle Spark working dir correctly on local-cluster master,441,274,8,4,0,,merged,2019-04-03T20:32:27+00:00,2019-04-03 21:19:52+00:00,coyotemarin,v0.6.8
coyotemarin,2042,Add --max-output-files switch to Spark runner,955,232,10,4,0,,merged,2019-04-01T23:10:46+00:00,2019-04-03 16:35:05+00:00,coyotemarin,v0.6.8
coyotemarin,2041,Ensure that Spark can serialize job methods,684,301,10,4,0,,merged,2019-03-26T00:05:31+00:00,2019-03-26 01:49:12+00:00,coyotemarin,v0.6.8
coyotemarin,2038,don't keep running if os.execvpe() fails,629,116,4,4,0,,merged,2019-03-24T00:29:30+00:00,2019-03-25 17:45:48+00:00,coyotemarin,v0.6.8
coyotemarin,2037,mrjob options should override Spark --conf,137,134,4,4,0,,merged,2019-03-22T22:33:54+00:00,2019-03-23 22:28:16+00:00,coyotemarin,v0.6.8
coyotemarin,2034,"fix part_size=0 on S3, default Spark part size to 100 MB",457,70,7,4,0,,merged,2019-03-22T20:16:33+00:00,2019-03-22 22:26:46+00:00,coyotemarin,v0.6.8
coyotemarin,2030,add missing spark runner options,381,42,3,4,0,,merged,2019-03-21T22:59:09+00:00,2019-03-22 16:30:46+00:00,coyotemarin,v0.6.8
coyotemarin,2028,fs.mkdir() creates buckets,274,376,12,4,1,2019-03-21T21:33:55+00:00,merged,2019-03-21T21:32:31+00:00,2019-03-21 22:05:37+00:00,coyotemarin,v0.6.8
coyotemarin,2027,remove part_size kwarg from fs.put(),328,150,14,4,1,2019-03-21T19:42:51+00:00,merged,2019-03-21T19:41:52+00:00,2019-03-21 20:23:45+00:00,coyotemarin,v0.6.8
coyotemarin,2026,note that Spark runner ignores some kwargs,325,33,2,4,0,,merged,2019-03-19T04:47:59+00:00,2019-03-21 17:32:51+00:00,coyotemarin,v0.6.8
coyotemarin,2025,further upgrade Google libs,683,8,1,5,0,,merged,2019-03-19T01:34:38+00:00,2019-03-19 03:27:56+00:00,coyotemarin,v0.6.8
coyotemarin,2023,integrate Spark harness counter simulation into Spark runner,284,222,7,5,2,2019-03-19T16:15:27+00:00;2019-03-21T23:12:58+00:00,merged,2019-03-19T00:09:47+00:00,2019-03-22 17:28:38+00:00,coyotemarin,v0.6.8
coyotemarin,2021,Rename files in working dir on all Spark masters,129,225,12,4,2,2019-03-18T20:38:31+00:00;2019-03-22T20:24:12+00:00,merged,2019-03-15T23:09:42+00:00,2019-03-22 20:24:36+00:00,coyotemarin,v0.6.8
coyotemarin,2020,"upgrade google-cloud-storage to 1.11.0, remove shim",163,35,6,5,0,,merged,2019-03-15T22:03:12+00:00,2019-03-15 23:02:41+00:00,coyotemarin,v0.6.8
stug,2018,update .travis.yml to work with spark tests,0,3,1,4,1,2019-03-12T00:28:57+00:00,merged,2019-03-11T23:56:48+00:00,2019-03-12 00:28:52+00:00,coyotemarin,v0.6.8
lydian,2016,Limit number of  output files in spark_harness_script,7,194,4,11,10,2019-03-21T23:29:59+00:00;2019-03-21T23:43:09+00:00;2019-03-18T21:57:41+00:00;2019-03-18T22:00:54+00:00;2019-03-18T22:04:05+00:00;2019-03-18T22:05:59+00:00;2019-03-21T18:23:28+00:00;2019-03-21T18:28:06+00:00;2019-03-21T22:07:33+00:00;2019-03-21T22:43:35+00:00,merged,2019-03-11T15:33:33+00:00,2019-03-22 16:18:42+00:00,coyotemarin,v0.6.8
stug,2011,Make spark harness handle hadoop input/output formats,12,166,7,12,14,2019-03-21T18:41:25+00:00;2019-03-19T00:15:11+00:00;2019-03-19T00:15:30+00:00;2019-03-19T00:17:26+00:00;2019-03-19T00:20:00+00:00;2019-03-19T00:20:31+00:00;2019-03-19T00:27:25+00:00;2019-03-19T00:28:53+00:00;2019-03-19T18:43:23+00:00;2019-03-21T18:38:25+00:00;2019-03-21T18:39:25+00:00;2019-03-21T18:40:41+00:00;2019-03-21T18:46:19+00:00;2019-03-21T18:47:05+00:00,merged,2019-03-08T00:15:20+00:00,2019-03-21 23:37:35+00:00,coyotemarin,v0.6.8
aaronabf,2010, YARM EMR Runner,234,907,9,1,1,2019-11-14T00:00:38+00:00,closed,2019-03-08T00:14:00+00:00,2019-11-14 00:00:38+00:00,coyotemarin,
lydian,2009,spark_harness_process_increment_counter,154,127,2,9,8,2019-03-05T16:41:48+00:00;2019-03-13T15:45:31+00:00;2019-03-06T20:26:10+00:00;2019-03-07T16:53:52+00:00;2019-03-08T18:39:32+00:00;2019-03-13T17:23:33+00:00;2019-03-13T17:36:16+00:00;2019-03-13T17:41:32+00:00,merged,2019-03-04T20:09:39+00:00,2019-03-13 19:54:10+00:00,coyotemarin,v0.6.8
coyotemarin,2008,move mr_spark_harness.py out of mrjob/spark/ and into tests/,272,8,3,4,0,,merged,2019-03-04T20:05:26+00:00,2019-03-04 20:37:01+00:00,coyotemarin,v0.6.8
aaronabf,2007,Add EMR cluster master node hostname to info logs for convenience.,53,10,1,4,12,2019-02-28T20:56:31+00:00;2019-02-28T21:04:31+00:00;2019-02-28T21:13:28+00:00;2019-02-28T21:18:47+00:00;2019-02-28T21:21:50+00:00;2019-02-28T21:28:42+00:00;2019-02-28T21:35:17+00:00;2019-02-28T21:36:06+00:00;2019-02-28T22:05:10+00:00;2019-05-30T04:15:54+00:00;2019-05-30T19:45:58+00:00;2019-05-31T23:44:14+00:00,closed,2019-02-28T20:49:57+00:00,2019-05-31 23:44:14+00:00,coyotemarin,
aaronabf,2006,Add cluster info file cache,64,319,5,1,5,2019-02-28T21:47:12+00:00;2019-02-28T21:53:15+00:00;2019-03-01T19:54:28+00:00;2019-03-07T06:36:43+00:00;2019-11-14T00:00:56+00:00,closed,2019-02-28T19:56:26+00:00,2019-11-14 00:00:56+00:00,coyotemarin,
aaronabf,2005,Bug fix: Add retrying to boto3 pagination.,936,512,8,9,10,2019-02-28T21:43:31+00:00;2019-02-28T22:19:53+00:00;2019-03-06T19:11:33+00:00;2019-03-08T00:03:19+00:00;2019-03-19T01:50:49+00:00;2019-03-19T03:36:33+00:00;2019-03-19T03:55:42+00:00;2019-05-30T04:13:34+00:00;2019-05-30T19:46:28+00:00;2019-10-03T17:47:23+00:00,merged,2019-02-28T19:56:23+00:00,2019-10-03 20:14:17+00:00,coyotemarin,
coyotemarin,2004,only set spark.yarn.appMasterEnv.* on YARN,337,534,4,4,0,,merged,2019-02-28T19:56:15+00:00,2019-03-01 21:14:49+00:00,coyotemarin,v0.6.8
coyotemarin,2003,move _spark_script_args() into base runner,114,415,8,4,0,,merged,2019-02-28T00:54:44+00:00,2019-02-28 21:14:26+00:00,coyotemarin,v0.6.8
coyotemarin,2002,nested extra_cluster_params,356,73,4,4,0,,merged,2019-02-27T23:45:43+00:00,2019-02-28 00:53:05+00:00,coyotemarin,v0.6.8
coyotemarin,2001,deprecate local_tmp_dir in GCSFilesystem,191,41,2,4,0,,merged,2019-02-27T21:47:31+00:00,2019-02-27 22:44:14+00:00,coyotemarin,v0.6.8
coyotemarin,2000,empty *_bin opt always means to use the default,326,159,9,4,2,2019-02-27T21:38:24+00:00;2019-02-27T21:38:58+00:00,merged,2019-02-27T21:29:23+00:00,2019-02-27 22:45:03+00:00,coyotemarin,v0.6.8
coyotemarin,1999,test hadoop fs touchz(),113,37,2,4,0,,merged,2019-02-27T18:15:08+00:00,2019-02-27 19:40:53+00:00,coyotemarin,v0.6.8
coyotemarin,1998,--subnet '' means no subnet,183,14,2,4,0,,merged,2019-02-27T16:08:30+00:00,2019-02-27 18:15:22+00:00,coyotemarin,v0.6.8
coyotemarin,1997,fully test cat_output(),258,111,1,4,0,,merged,2019-02-26T19:09:53+00:00,2019-02-27 15:58:31+00:00,coyotemarin,v0.6.8
coyotemarin,1992,make spark runner run Hadoop streaming steps,167,764,14,4,0,,merged,2019-02-24T23:47:35+00:00,2019-02-25 00:44:40+00:00,coyotemarin,v0.6.8
coyotemarin,1991,spark harness preserves partitioning,270,476,3,5,1,2019-02-21T00:04:23+00:00,merged,2019-02-21T00:02:17+00:00,2019-02-22 17:09:28+00:00,coyotemarin,v0.6.8
aaronabf,1990,Reduce EMR API calls in cluster pooling,689,431,2,7,2,2019-03-06T21:14:42+00:00;2019-03-07T06:28:02+00:00,merged,2019-02-15T19:51:49+00:00,2019-03-06 21:15:20+00:00,coyotemarin,v0.6.8
coyotemarin,1989,Spark harness can run a range of steps,319,196,5,4,1,2019-02-12T01:02:33+00:00,merged,2019-02-12T00:41:43+00:00,2019-02-12 01:02:53+00:00,coyotemarin,v0.6.8
coyotemarin,1988,basic spark runner,423,899,14,4,0,,merged,2019-02-09T04:32:16+00:00,2019-02-09 04:54:30+00:00,coyotemarin,v0.6.8
coyotemarin,1987,pass file:/// URIs to Spark for input and output,228,107,7,4,0,,merged,2019-02-08T22:43:04+00:00,2019-02-08 23:35:34+00:00,coyotemarin,v0.6.8
coyotemarin,1983,add put() to filesystem,122,297,14,4,0,,merged,2019-02-07T18:49:55+00:00,2019-02-07 19:25:11+00:00,coyotemarin,v0.6.8
stug,1978,make mrjob_spark_harness handle combiners,0,170,2,8,16,2019-02-15T23:35:48+00:00;2019-02-01T01:27:36+00:00;2019-02-11T17:55:53+00:00;2019-02-11T18:01:26+00:00;2019-02-11T18:02:37+00:00;2019-02-11T18:06:23+00:00;2019-02-11T18:16:23+00:00;2019-02-11T18:36:10+00:00;2019-02-11T18:40:01+00:00;2019-02-11T18:43:17+00:00;2019-02-11T21:19:17+00:00;2019-02-15T21:53:31+00:00;2019-02-15T21:55:50+00:00;2019-02-15T21:59:17+00:00;2019-02-15T22:01:37+00:00;2019-02-15T22:02:53+00:00,merged,2019-02-01T01:17:37+00:00,2019-02-15 23:35:42+00:00,coyotemarin,v0.6.8
coyotemarin,1976,rework CompositeFilesystem,651,426,13,4,0,,merged,2019-01-29T22:09:23+00:00,2019-01-29 22:43:42+00:00,coyotemarin,v0.6.8
coyotemarin,1975,mrjob spark-submit works in local mode,107,64,3,5,0,,merged,2019-01-29T05:05:31+00:00,2019-01-29 22:06:03+00:00,coyotemarin,v0.6.8
coyotemarin,1971,Spark harness tests,257,244,7,4,1,2019-01-26T04:53:23+00:00,merged,2019-01-26T04:49:39+00:00,2019-01-28 17:35:38+00:00,coyotemarin,v0.6.8
coyotemarin,1970,add SparkStep support to inline runner,281,175,6,5,0,,merged,2019-01-26T01:01:51+00:00,2019-01-26 01:38:58+00:00,coyotemarin,v0.6.8
lydian,1968,spark_harness support passthrough arguments,636,78,3,8,10,2019-01-25T22:54:20+00:00;2019-01-25T23:25:58+00:00;2019-01-26T00:15:43+00:00;2019-02-05T17:54:28+00:00;2019-01-31T16:33:33+00:00;2019-01-31T16:36:42+00:00;2019-02-01T23:20:54+00:00;2019-02-01T23:21:27+00:00;2019-02-07T00:08:49+00:00;2019-02-07T00:20:14+00:00,merged,2019-01-25T22:31:34+00:00,2019-02-07 19:01:50+00:00,coyotemarin,v0.6.8
lydian,1964,spark_harness support SORT_VALUES,10,2,1,6,4,2019-01-24T20:07:34+00:00;2019-01-24T20:37:18+00:00;2019-01-25T19:20:43+00:00;2019-01-25T19:23:20+00:00,merged,2019-01-24T20:05:55+00:00,2019-01-25 19:22:45+00:00,coyotemarin,v0.6.8
stug,1963,allow output compression in spark harness,202,7,1,4,0,,merged,2019-01-23T00:12:37+00:00,2019-01-23 00:36:14+00:00,coyotemarin,v0.6.8
coyotemarin,1962,local runner Spark support,133,430,11,4,0,,merged,2019-01-22T23:22:52+00:00,2019-01-22 23:45:18+00:00,coyotemarin,v0.6.8
coyotemarin,1960,missing --emr-action-on-failure switch,234,29,3,4,0,,merged,2019-01-15T03:57:37+00:00,2019-01-15 04:08:42+00:00,coyotemarin,v0.6.7
coyotemarin,1958,doc updates for v0.6.7,236,511,14,4,0,,merged,2019-01-15T00:24:11+00:00,2019-01-15 00:29:52+00:00,coyotemarin,v0.6.7
coyotemarin,1957,break out combine_pairs() in MRJob for consistency,44,101,1,4,0,,merged,2019-01-14T18:31:34+00:00,2019-01-14 19:30:56+00:00,coyotemarin,v0.6.7
coyotemarin,1949,add experimental MRJob Spark harness,332,246,3,4,0,,merged,2019-01-12T04:19:43+00:00,2019-01-12 04:45:19+00:00,coyotemarin,v0.6.7
coyotemarin,1939,added stats for m5 instance types,422,57,1,4,0,,merged,2019-01-09T21:08:53+00:00,2019-01-09 22:14:35+00:00,coyotemarin,v0.6.7
coyotemarin,1938,make m4.large the default instance type,132,94,3,4,0,,merged,2019-01-09T20:27:17+00:00,2019-01-09 20:36:17+00:00,coyotemarin,v0.6.7
coyotemarin,1933,fix bucket creation on us-east-1,110,31,2,4,0,,merged,2019-01-08T23:27:17+00:00,2019-01-09 00:36:15+00:00,coyotemarin,v0.6.7
aaronabf,1930,Add in c5 ec2 instances to ec2  map,0,12,1,9,1,2019-01-08T23:36:23+00:00,merged,2019-01-04T20:07:44+00:00,2019-01-08 23:36:16+00:00,coyotemarin,v0.6.7
